Date,Total Consumption [MWh],Average Consumption [MW],Storage Cycle [MWh]
2016-02-21,1240578.5,51690.77,58333.19
2016-02-22,1528136.0,63672.33,114682.0
2016-02-23,1556001.0,64833.38,91743.63
2016-02-24,1550358.75,64598.28,80617.28
2016-02-25,1553862.0,64744.25,82483.75
2016-02-26,1521357.0,63389.88,72142.13
2016-02-27,1303687.0,54320.29,41246.21
2016-02-28,1207990.0,50332.92,51224.0
2016-02-29,1505870.75,62744.61,105847.28
2016-03-01,1580006.5,65833.6,93219.79
2016-03-02,1569931.25,65413.8,87346.02
2016-03-03,1552104.75,64671.03,87852.81
2016-03-04,1534263.25,63927.64,86186.35
2016-03-05,1317387.0,54891.13,47598.13
2016-03-06,1206935.0,50288.96,53959.58
2016-03-07,1491479.5,62144.98,99985.56
2016-03-08,1545316.5,64388.19,85519.13
2016-03-09,1540703.0,64195.96,78080.87
2016-03-10,1532285.0,63845.21,78232.08
2016-03-11,1508489.25,62853.72,80750.19
2016-03-12,1311247.25,54635.3,44810.02
2016-03-13,1186601.25,49441.72,51305.47
2016-03-14,1464671.5,61027.98,97561.31
2016-03-15,1536248.5,64010.35,92275.04
2016-03-16,1533143.0,63880.96,85166.37
2016-03-17,1503981.75,62665.91,72514.66
2016-03-18,1500445.25,62518.55,76424.27
2016-03-19,1302609.75,54275.41,48847.31
2016-03-20,1193171.25,49715.47,52111.94
2016-03-21,1476385.25,61516.05,106512.22
2016-03-22,1510313.75,62929.74,86178.4
2016-03-23,1500630.0,62526.25,88700.75
2016-03-24,1480221.0,61675.88,80370.25
2016-03-25,1205163.75,50215.16,48212.91
2016-03-26,1173548.75,48897.86,49752.28
2016-03-27,1041869.25,43411.22,63681.47
2016-03-28,1114095.25,46420.64,53857.85
2016-03-29,1407032.0,58626.33,109803.25
2016-03-30,1468437.75,61184.91,87843.91
2016-03-31,1459322.0,60805.08,85379.5
2016-04-01,1450051.75,60418.82,75656.23
2016-04-02,1234448.0,51435.33,39838.75
2016-04-03,1103992.25,45999.68,49727.02
2016-04-04,1380525.75,57521.91,110249.75
2016-04-05,1432350.0,59681.25,95085.5
2016-04-06,1464828.75,61034.53,91290.03
2016-04-07,1464754.5,61031.44,87791.44
2016-04-08,1432471.5,59686.31,77280.06
2016-04-09,1213826.5,50576.1,42134.44
2016-04-10,1092281.5,45511.73,48859.54
2016-04-11,1389017.75,57875.74,101616.17
2016-04-12,1423944.25,59331.01,91463.34
2016-04-13,1443968.25,60165.34,91334.84
2016-04-14,1444277.75,60178.24,86656.41
2016-04-15,1430074.5,59586.44,85244.13
2016-04-16,1229215.75,51217.32,48701.98
2016-04-17,1102358.25,45931.59,53464.19
2016-04-18,1390857.75,57952.41,107366.41
2016-04-19,1432154.0,59673.08,89976.0
2016-04-20,1418245.75,59093.57,81107.16
2016-04-21,1409101.25,58712.55,80423.47
2016-04-22,1395893.25,58162.22,76828.69
2016-04-23,1216069.5,50669.56,51776.81
2016-04-24,1109431.5,46226.31,51373.81
2016-04-25,1423978.0,59332.42,109425.0
2016-04-26,1473427.0,61392.79,87917.38
2016-04-27,1491921.75,62163.41,88245.66
2016-04-28,1467857.0,61160.71,77658.12
2016-04-29,1431514.75,59646.45,76848.68
2016-04-30,1202666.75,50111.11,43548.15
2016-05-01,1060982.75,44207.61,45257.53
2016-05-02,1360210.25,56675.43,109665.09
2016-05-03,1440422.0,60017.58,90949.75
2016-05-04,1422899.25,59287.47,75812.16
2016-05-05,1134787.75,47282.82,33895.7
2016-05-06,1251652.25,52152.18,78632.09
2016-05-07,1166745.75,48614.41,53596.91
2016-05-08,1071130.75,44630.45,52139.03
2016-05-09,1384659.25,57694.14,113182.97
2016-05-10,1424257.5,59344.06,88670.81
